Index,Entry,Location,Category,Label
612,Q4G0S4,Membrane,Membrane,9
614,P33076,Nucleus,Nucleus,5
624,Q9H425,Cytoplasm,Cytoplasm,4
626,Q9NPJ6,Nucleus,Nucleus,5
627,O75586,Nucleus,Nucleus,5
628,Q16820,Cell membrane,Cell membrane,2
630,Q86W50,Nucleus,Nucleus,5
631,Q5JXM2,Secreted,Secreted,6
634,Q5SR56,Membrane,Membrane,9
635,Q9GZY8,Mitochondrion outer membrane,Mitochondrion,8
636,Q9H2D1,Mitochondrion inner membrane,Mitochondrion,8
637,P61326,Nucleus,Nucleus,5
638,P08493,Secreted,Secreted,6
639,Q99735,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
642,Q96PC5,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
643,Q16674,Secreted,Secreted,6
644,Q504T8,Nucleus,Nucleus,5
646,Q8N344,Nucleus,Nucleus,5
648,Q9H8M7,Nucleus,Nucleus,5
650,Q8TDR0,Cytoplasm,Cytoplasm,4
652,P03971,Secreted,Secreted,6
654,Q9BYG3,Nucleus,Nucleus,5
655,Q969V6,Nucleus,Nucleus,5
657,Q5HYA8,Cell membrane,Cell membrane,2
658,Q15049,Membrane,Membrane,9
659,Q9UHC1,Nucleus,Nucleus,5
660,Q02252,Mitochondrion,Mitochondrion,8
661,P41218,Nucleus,Nucleus,5
662,Q9P086,Nucleus,Nucleus,5
663,Q9UHV7,Nucleus,Nucleus,5
664,Q9Y2X0,Nucleus,Nucleus,5
665,Q9BUE0,Nucleus,Nucleus,5
666,A0JLT2,Nucleus,Nucleus,5
667,Q9H204,Nucleus,Nucleus,5
668,O43513,Nucleus,Nucleus,5
670,Q12866,Membrane,Membrane,9
671,Q9BRJ9,Nucleus,Nucleus,5
672,A8MUP2,Mitochondrion,Mitochondrion,8
673,Q641Q3,Secreted,Secreted,6
674,P08581,Secreted,Secreted,6
675,A1L020,Cytoplasm,Cytoplasm,4
676,Q96MC6,Membrane,Membrane,9
677,Q08431,Membrane,Membrane,9
678,O60291,Cytoplasm,Cytoplasm,4
679,P27361,Cytoplasm,Cytoplasm,4
680,P53779,Cytoplasm,Cytoplasm,4
682,Q16539,Cytoplasm,Cytoplasm,4
683,Q9ULH7,Nucleus,Nucleus,5
684,Q8IYA7,Nucleus,Nucleus,5
685,P40692,Nucleus,Nucleus,5
686,Q9H492,Cytoplasm,Cytoplasm,4
687,Q9BXW4,Cytoplasm,Cytoplasm,4
688,Q9HAP2,Cytoplasm,Cytoplasm,4
689,Q96EY8,Mitochondrion,Mitochondrion,8
690,Q9Y4U1,Cytoplasm,Cytoplasm,4
691,Q13201,Secreted,Secreted,6
694,Q70IA6,Nucleus,Nucleus,5
695,P26038,Cell membrane,Cell membrane,2
696,Q96JJ6,Cell membrane,Cell membrane,2
698,Q3SY84,Cytoplasm,Cytoplasm,4
700,Q9Y6K8,Cytoplasm,Cytoplasm,4
701,Q96M32,Cytoplasm,Cytoplasm,4
702,P29622,Secreted,Secreted,6
704,Q9P2N6,Nucleus,Nucleus,5
705,P31321,Cell membrane,Cell membrane,2
706,Q16773,Cytoplasm,Cytoplasm,4
707,Q92830,Nucleus,Nucleus,5
708,Q14722,Cytoplasm,Cytoplasm,4
709,Q9UQM7,Cell junction,Cell junction,3
710,Q16566,Cytoplasm,Cytoplasm,4
711,Q9ULH0,Membrane,Membrane,9
712,O60341,Nucleus,Nucleus,5
713,Q7LBC6,Nucleus,Nucleus,5
714,O75164,Nucleus,Nucleus,5
715,O94953,Nucleus,Nucleus,5
716,P41229,Nucleus,Nucleus,5
717,Q14145,Cytoplasm,Cytoplasm,4
718,Q96L93,Cytoplasm,Cytoplasm,4
719,Q86Y91,Nucleus,Nucleus,5
720,Q7Z4S6,Cytoplasm,Cytoplasm,4
721,P43626,Cell membrane,Cell membrane,2
722,P43628,Cell membrane,Cell membrane,2
723,Q8NHK3,Cell membrane,Cell membrane,2
724,P43631,Cell membrane,Cell membrane,2
725,Q14953,Cell membrane,Cell membrane,2
726,P43630,Cell membrane,Cell membrane,2
727,Q9H7L2,Secreted,Secreted,6
729,P52732,Cytoplasm,Cytoplasm,4
730,Q15058,Nucleus,Nucleus,5
731,Q9P2E2,Cytoplasm,Cytoplasm,4
732,Q14807,Nucleus,Nucleus,5
733,Q5T7B8,Cytoplasm,Cytoplasm,4
734,O95239,Nucleus matrix,Nucleus,5
735,Q6ZMV9,Cytoplasm,Cytoplasm,4
736,Q2M1P5,Cell projection,Cell projection,1
737,Q8N5S9,Cytoplasm,Cytoplasm,4
738,Q96RR4,Nucleus,Nucleus,5
739,Q13351,Nucleus,Nucleus,5
740,Q99612,Nucleus,Nucleus,5
741,Q6JEL2,Cytoplasm,Cytoplasm,4
742,Q9Y2M5,Cytoplasm,Cytoplasm,4
744,Q9C0H6,Cytoplasm,Cytoplasm,4
746,Q86Z14,Cell membrane,Cell membrane,2
747,Q96E93,Cell membrane,Cell membrane,2
748,Q9UMN6,Nucleus,Nucleus,5
749,O14686,Nucleus,Nucleus,5
750,Q8NG31,Nucleus,Nucleus,5
751,Q8NCW0,Membrane,Membrane,9
755,O75582,Nucleus,Nucleus,5
756,Q9UBS0,Cytoplasm,Cytoplasm,4
758,Q9NXV2,Cytoplasm,Cytoplasm,4
759,Q6ZWB6,Cell junction,Cell junction,3
760,P30085,Nucleus,Nucleus,5
761,Q8NB78,Nucleus,Nucleus,5
762,Q9Y4C1,Cytoplasm,Cytoplasm,4
